Design_Name,Area (um^2),Slack (ns),Power (W)
DotProductUnit_E2M1_x_E3M2_scale_UE5M3,N/A,-0.15,N/A,CustomOperator_E2M1_to_E3M2:315.302400 | ScaleAccumulatorFP32:10668.982400 | ScaleAddition_E2M1_to_E3M2_scale_UE5M3:1938.108800 | DotProductUnit_E2M1_x_E3M2_scale_UE5M3:13082.547200
DotProductUnit_E2M1_x_E3M2_scale_UE6M2,N/A,0.0,N/A,CustomOperator_E2M1_to_E3M2:309.046400 | ScaleAccumulatorFP32:11240.780800 | ScaleAddition_E2M1_to_E3M2_scale_UE6M2:1498.937600 | DotProductUnit_E2M1_x_E3M2_scale_UE6M2:13208.918400
DotProductUnit_E2M1_x_E3M2_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M1_to_E3M2:315.302400 | ScaleAccumulatorFP32:10958.009600 | ScaleAddition_E2M1_to_E3M2_scale_UE7M1:1102.307200 | DotProductUnit_E2M1_x_E3M2_scale_UE7M1:12535.772800
DotProductUnit_E2M1_x_E3M2_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M1_to_E3M2:315.302400 | ScaleAccumulatorFP32:10811.619200 | ScaleAddition_E2M1_to_E3M2_scale_UE8M0:1013.472000 | DotProductUnit_E2M1_x_E3M2_scale_UE8M0:12300.547200
DotProductUnit_E2M1_x_E4M3_scale_UE2M6,N/A,-2.22,N/A,CustomOperator_E2M1_to_E4M3:359.094400 | ScaleAccumulatorFP32:11621.145600 | ScaleAddition_E2M1_to_E4M3_scale_UE2M6:4815.868800 | DotProductUnit_E2M1_x_E4M3_scale_UE2M6:16956.262400
DotProductUnit_E2M1_x_E4M3_scale_UE3M5,N/A,-0.73,N/A,CustomOperator_E2M1_to_E4M3:359.094400 | ScaleAccumulatorFP32:11407.190400 | ScaleAddition_E2M1_to_E4M3_scale_UE3M5:3731.078400 | DotProductUnit_E2M1_x_E4M3_scale_UE3M5:15657.516800
DotProductUnit_E2M1_x_E4M3_scale_UE4M4,N/A,-1.11,N/A,CustomOperator_E2M1_to_E4M3:351.587200 | ScaleAccumulatorFP32:11028.076800 | ScaleAddition_E2M1_to_E4M3_scale_UE4M4:2929.059200 | DotProductUnit_E2M1_x_E4M3_scale_UE4M4:14468.876800
DotProductUnit_E2M1_x_E4M3_scale_UE5M3,N/A,-0.75,N/A,CustomOperator_E2M1_to_E4M3:359.094400 | ScaleAccumulatorFP32:11073.120000 | ScaleAddition_E2M1_to_E4M3_scale_UE5M3:2220.880000 | DotProductUnit_E2M1_x_E4M3_scale_UE5M3:13813.248000
DotProductUnit_E2M1_x_E4M3_scale_UE6M2,N/A,-0.09,N/A,CustomOperator_E2M1_to_E4M3:351.587200 | ScaleAccumulatorFP32:10897.952000 | ScaleAddition_E2M1_to_E4M3_scale_UE6M2:1740.419200 | DotProductUnit_E2M1_x_E4M3_scale_UE6M2:13150.112000
DotProductUnit_E2M1_x_E4M3_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M1_to_E4M3:359.094400 | ScaleAccumulatorFP32:10909.212800 | ScaleAddition_E2M1_to_E4M3_scale_UE7M1:1181.132800 | DotProductUnit_E2M1_x_E4M3_scale_UE7M1:12609.593600
DotProductUnit_E2M1_x_E4M3_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M1_to_E4M3:359.094400 | ScaleAccumulatorFP32:10884.188800 | ScaleAddition_E2M1_to_E4M3_scale_UE8M0:1003.462400 | DotProductUnit_E2M1_x_E4M3_scale_UE8M0:12406.899200
DotProductUnit_E2M1_x_E5M2_scale_UE2M6,N/A,-2.42,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:11472.252800 | ScaleAddition_E2M1_to_E5M2_scale_UE2M6:4426.745600 | DotProductUnit_E2M1_x_E5M2_scale_UE2M6:16410.739200
DotProductUnit_E2M1_x_E5M2_scale_UE3M5,N/A,-2.04,N/A,CustomOperator_E2M1_to_E5M2:357.843200 | ScaleAccumulatorFP32:11287.075200 | ScaleAddition_E2M1_to_E5M2_scale_UE3M5:3145.516800 | DotProductUnit_E2M1_x_E5M2_scale_UE3M5:14950.588800
DotProductUnit_E2M1_x_E5M2_scale_UE4M4,N/A,-0.86,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:11036.835200 | ScaleAddition_E2M1_to_E5M2_scale_UE4M4:2523.670400 | DotProductUnit_E2M1_x_E5M2_scale_UE4M4:14072.246400
DotProductUnit_E2M1_x_E5M2_scale_UE5M3,N/A,-1.55,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:10998.048000 | ScaleAddition_E2M1_to_E5M2_scale_UE5M3:1981.900800 | DotProductUnit_E2M1_x_E5M2_scale_UE5M3:13491.689600
DotProductUnit_E2M1_x_E5M2_scale_UE6M2,N/A,0.0,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:11240.780800 | ScaleAddition_E2M1_to_E5M2_scale_UE6M2:1525.212800 | DotProductUnit_E2M1_x_E5M2_scale_UE6M2:13277.734400
DotProductUnit_E2M1_x_E5M2_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:10958.009600 | ScaleAddition_E2M1_to_E5M2_scale_UE7M1:1064.771200 | DotProductUnit_E2M1_x_E5M2_scale_UE7M1:12534.521600
DotProductUnit_E2M1_x_E5M2_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M1_to_E5M2:351.587200 | ScaleAccumulatorFP32:10811.619200 | ScaleAddition_E2M1_to_E5M2_scale_UE8M0:948.409600 | DotProductUnit_E2M1_x_E5M2_scale_UE8M0:12271.769600
DotProductUnit_E2M1_x_INT8_scale_UE2M6,N/A,-3.85,N/A,CustomOperator_E2M1_to_INT8:420.403200 | ScaleAccumulatorFP32:11611.136000 | ScaleAddition_E2M1_to_INT8_scale_UE2M6:6894.112000 | DotProductUnit_E2M1_x_INT8_scale_UE2M6:19085.804800
DotProductUnit_E2M1_x_INT8_scale_UE3M5,N/A,-1.68,N/A,CustomOperator_E2M1_to_INT8:420.403200 | ScaleAccumulatorFP32:11457.238400 | ScaleAddition_E2M1_to_INT8_scale_UE3M5:5468.995200 | DotProductUnit_E2M1_x_INT8_scale_UE3M5:17506.790400
DotProductUnit_E2M1_x_INT8_scale_UE4M4,N/A,-1.28,N/A,CustomOperator_E2M1_to_INT8:420.403200 | ScaleAccumulatorFP32:11473.504000 | ScaleAddition_E2M1_to_INT8_scale_UE4M4:4510.576000 | DotProductUnit_E2M1_x_INT8_scale_UE4M4:16564.636800
DotProductUnit_E2M1_x_INT8_scale_UE5M3,N/A,-1.34,N/A,CustomOperator_E2M1_to_INT8:429.161600 | ScaleAccumulatorFP32:11080.627200 | ScaleAddition_E2M1_to_INT8_scale_UE5M3:3405.766400 | DotProductUnit_E2M1_x_INT8_scale_UE5M3:15075.708800
